symbol,publishdate(min),nav_cur4
000037,20170818,1.1253
000037,20170820,2.2482
000037,20170821,1.1227
000037,20170822,1.124
000037,20170823,1.1213
000037,20170824,1.1212
000037,20170825,1.1212
000037,20170827,2.2424
000037,20170828,1.1254
000037,20170829,1.1231
000037,20170830,1.1238
000037,20170831,1.1241
000037,20170901,1.125
000037,20170903,2.2473
000037,20170904,1.1243
000037,20170905,1.1237
000037,20170906,1.1182
000037,20170907,1.1175
000037,20170908,1.1175
000037,20170910,2.2328
000037,20170911,1.1172
000037,20170912,1.1161
000037,20170913,1.1391
000037,20170914,1.1357
000037,20170915,1.1357
000037,20170917,2.2186
000037,20170918,1.1591
000037,20170919,1.1313
000037,20170920,1.1401
000037,20170921,1.1388
000037,20170922,1.1388
000037,20170924,2.2783
000037,20170925,1.1393
000037,20170926,1.1913
000037,20170927,1.1474
000037,20170929,1.1456
000037,20171008,10.3322
000037,20171009,1.1518
000037,20171010,1.146
000037,20171011,1.1524
000037,20171012,1.1524
000037,20171013,1.1518
000037,20171015,2.3023
000037,20171016,1.1356
000037,20171017,1.1285
000037,20171018,1.1064
000037,20171019,1.1065
000037,20171020,1.1069
000037,20171022,2.2125
000037,20171023,1.1084
000037,20171024,1.0843
000037,20171025,1.0956
000037,20171026,1.346
000037,20171027,1.2576
000037,20171029,2.2172
000037,20171030,1.2204
000037,20171031,1.1422
000037,20171101,1.1112
000037,20171102,1.11
000037,20171103,1.1399
000037,20171105,2.2781
000037,20171106,1.1656
000037,20171107,1.1601
000037,20171108,1.1598
000037,20171109,1.16
000037,20171110,1.1586
000037,20171112,2.2907
000037,20171113,1.1145
000037,20171114,1.1181
000037,20171115,1.1298
000037,20171116,1.099
000037,20171117,1.1084
000037,20171119,2.1762
000037,20171120,1.0886
000038,20170702,2.4917
000038,20170703,1.2459
000038,20170704,1.2458
000038,20170705,1.2426
000038,20170706,1.2438
000038,20170707,1.2429
000038,20170709,2.4863
000038,20170710,1.2488
000038,20170711,1.2481
000038,20170712,1.2464
000038,20170713,1.2459
000038,20170714,1.2467
000038,20170716,2.4771
000038,20170717,1.254
000038,20170718,1.2501
000038,20170719,1.2337
000038,20170720,1.223
000038,20170721,1.2058
000038,20170723,2.4138
000038,20170724,1.2069
