客户ID,日期,基金代码,基金名称,配置比例
41,2017-11-24,050003,博时现金收益A,0.1371
41,2017-11-24,001661,博时信用债纯债C,0.3873
41,2017-11-24,050111,博时信用债券C,0.1318
41,2017-11-24,002385,博时裕富沪深300C,0.1006
41,2017-11-24,050015,博时大中华人民币,0.06
41,2017-11-24,050025,博时标普500ETF联接,0.1832
42,2017-11-24,050003,博时现金收益A,0.1371
42,2017-11-24,001661,博时信用债纯债C,0.3873
42,2017-11-24,050111,博时信用债券C,0.1318
42,2017-11-24,002385,博时裕富沪深300C,0.1006
42,2017-11-24,050015,博时大中华人民币,0.06
42,2017-11-24,050025,博时标普500ETF联接,0.1832
43,2017-11-24,050003,博时现金收益A,0.0786
43,2017-11-24,001661,博时信用债纯债C,0.1855
43,2017-11-24,050111,博时信用债券C,0.1542
43,2017-11-24,002385,博时裕富沪深300C,0.1296
43,2017-11-24,050015,博时大中华人民币,0.168
43,2017-11-24,050025,博时标普500ETF联接,0.0842
43,2017-11-24,160505,博时主题行业,0.2
44,2017-11-24,050003,博时现金收益A,0.0786
44,2017-11-24,001661,博时信用债纯债C,0.1855
44,2017-11-24,050111,博时信用债券C,0.1542
44,2017-11-24,002385,博时裕富沪深300C,0.1296
44,2017-11-24,050015,博时大中华人民币,0.168
44,2017-11-24,050025,博时标普500ETF联接,0.0842
44,2017-11-24,160505,博时主题行业,0.2
45,2017-11-24,050003,博时现金收益A,0.0786
45,2017-11-24,001661,博时信用债纯债C,0.1855
45,2017-11-24,050111,博时信用债券C,0.1542
45,2017-11-24,002385,博时裕富沪深300C,0.1296
45,2017-11-24,050015,博时大中华人民币,0.168
45,2017-11-24,050025,博时标普500ETF联接,0.0842
45,2017-11-24,160505,博时主题行业,0.2
46,2017-11-24,050003,博时现金收益A,1
47,2017-11-24,050003,博时现金收益A,0.0962
47,2017-11-24,001661,博时信用债纯债C,0.1858
47,2017-11-24,050111,博时信用债券C,0.2149
47,2017-11-24,002385,博时裕富沪深300C,0.1122
47,2017-11-24,050015,博时大中华人民币,0.1275
47,2017-11-24,050025,博时标普500ETF联接,0.1209
47,2017-11-24,160505,博时主题行业,0.1425
48,2017-11-24,050003,博时现金收益A,0.0713
