用户序号,日期,基金代码,基金名称,配置比例
144,2017-11-27,050002,博时裕富沪深300A,0.146 
144,2017-11-27,050011,博时信用债券A,0.618 
144,2017-11-27,000929,博时黄金ETF D,0.236 
145,2017-11-27,050002,博时裕富沪深300A,0.146 
145,2017-11-27,050011,博时信用债券A,0.385 
145,2017-11-27,000929,博时黄金ETF D,0.469 
145,2017-12-21,050002,博时裕富沪深300A,0.145 
145,2017-12-21,050011,博时信用债券A,0.459 
145,2017-12-21,000929,博时黄金ETF D,0.396 
145,2018-01-02,050002,博时裕富沪深300A,0.145 
145,2018-01-02,050011,博时信用债券A,0.543 
145,2018-01-02,000929,博时黄金ETF D,0.312 
145,2018-01-15,050002,博时裕富沪深300A,0.154 
145,2018-01-15,050011,博时信用债券A,0.468 
145,2018-01-15,000929,博时黄金ETF D,0.377 
146,2017-11-27,050002,博时裕富沪深300A,0.146 
146,2017-11-27,050011,博时信用债券A,0.385 
146,2017-11-27,000929,博时黄金ETF D,0.469 
146,2017-12-21,050002,博时裕富沪深300A,0.145 
146,2017-12-21,050011,博时信用债券A,0.459 
146,2017-12-21,000929,博时黄金ETF D,0.396 
146,2018-01-02,050002,博时裕富沪深300A,0.145 
146,2018-01-02,050011,博时信用债券A,0.543 
146,2018-01-02,000929,博时黄金ETF D,0.312 
146,2018-01-15,050002,博时裕富沪深300A,0.154 
146,2018-01-15,050011,博时信用债券A,0.468 
146,2018-01-15,000929,博时黄金ETF D,0.377 
147,2017-11-27,050002,博时裕富沪深300A,0.236 
147,2017-11-27,050011,博时信用债券A,0.618 
147,2017-11-27,000929,博时黄金ETF D,0.146 
148,2017-11-25,001826,国寿安保增金宝,1
149,2017-11-27,050002,博时裕富沪深300A,0.236 
149,2017-11-27,050011,博时信用债券A,0.618 
149,2017-11-27,000929,博时黄金ETF D,0.146 
150,2017-11-27,050002,博时裕富沪深300A,0.146 
150,2017-11-27,050011,博时信用债券A,0.618 
150,2017-11-27,000929,博时黄金ETF D,0.236 
