用户,日期,基金代码,基金名称,配置比例
19,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1595
19,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0547
19,2017-07-01,162607,景顺长城资源垄断混合LOF,0.012
19,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0427
19,2017-08-18,110031,易方达恒生国企联接QDII,0.1409
20,2017-07-01,050025,博时标普500ETF联接QDII,0.1628
20,2017-08-25,050025,博时标普500ETF联接QDII,0.1362
20,2017-07-01,050027,博时信用债纯债债券A,0.5637
20,2017-08-25,050027,博时信用债纯债债券A,0.5515
20,2017-07-01,160127,南方新兴消费增长分级股票,0.08
20,2017-08-25,160127,南方新兴消费增长分级股票,0.0857
20,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1704
20,2017-07-01,162607,景顺长城资源垄断混合LOF,0.023
20,2017-08-25,162607,景顺长城资源垄断混合LOF,0.0559
20,2017-08-25,070009,嘉实超短债债券,0.0212
20,2017-08-25,110031,易方达恒生国企联接QDII,0.1494
21,2017-07-01,050027,博时信用债纯债债券A,0.7923
21,2017-07-01,160127,南方新兴消费增长分级股票,0.0542
21,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1276
21,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0259
22,2017-07-01,050025,博时标普500ETF联接QDII,0.0597
22,2017-07-01,050027,博时信用债纯债债券A,0.777
22,2017-07-01,160127,南方新兴消费增长分级股票,0.0388
22,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1131
22,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0114
23,2017-07-01,050025,博时标普500ETF联接QDII,0.2581
23,2017-08-18,050025,博时标普500ETF联接QDII,0.2417
23,2017-07-01,050027,博时信用债纯债债券A,0.3321
23,2017-08-18,050027,博时信用债纯债债券A,0.3295
23,2017-07-01,160127,南方新兴消费增长分级股票,0.1037
23,2017-08-18,160127,南方新兴消费增长分级股票,0.1276
23,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1997
23,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0866
23,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0198
23,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0524
23,2017-08-18,000307,易方达黄金ETF联接A,0.0578
23,2017-08-18,110031,易方达恒生国企联接QDII,0.191
24,2017-07-01,050025,博时标普500ETF联接QDII,0.3812
24,2017-08-18,050025,博时标普500ETF联接QDII,0.3446
24,2017-07-01,160127,南方新兴消费增长分级股票,0.1601
24,2017-08-18,160127,南方新兴消费增长分级股票,0.2031
24,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2853
24,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1437
24,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0297
24,2017-08-18,162607,景顺长城资源垄断混合LOF,0.086
24,2017-08-18,000307,易方达黄金ETF联接A,0.1002
24,2017-08-18,110031,易方达恒生国企联接QDII,0.2662
25,2017-07-01,050025,博时标普500ETF联接QDII,0.1522
25,2017-08-18,050025,博时标普500ETF联接QDII,0.1565
25,2017-07-01,050027,博时信用债纯债债券A,0.5525
25,2017-08-18,050027,博时信用债纯债债券A,0.5507
25,2017-07-01,160127,南方新兴消费增长分级股票,0.0691
25,2017-08-18,160127,南方新兴消费增长分级股票,0.08
25,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1595
25,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0548
25,2017-07-01,162607,景顺长城资源垄断混合LOF,0.012
25,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0359
25,2017-08-18,000307,易方达黄金ETF联接A,0.0451
25,2017-08-18,110031,易方达恒生国企联接QDII,0.1318
26,2017-07-01,070008,嘉实货币A,1
27,2017-07-01,050025,博时标普500ETF联接QDII,0.1522
27,2017-08-18,050025,博时标普500ETF联接QDII,0.1566
27,2017-07-01,050027,博时信用债纯债债券A,0.5525
27,2017-08-18,050027,博时信用债纯债债券A,0.5507
27,2017-07-01,160127,南方新兴消费增长分级股票,0.0691
27,2017-08-18,160127,南方新兴消费增长分级股票,0.08
27,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1595
27,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0548
27,2017-07-01,162607,景顺长城资源垄断混合LOF,0.012
27,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0359
27,2017-08-18,000307,易方达黄金ETF联接A,0.0452
27,2017-08-18,110031,易方达恒生国企联接QDII,0.1318
28,2017-07-01,050025,博时标普500ETF联接QDII,0.258
28,2017-08-18,050025,博时标普500ETF联接QDII,0.2416
28,2017-07-01,050027,博时信用债纯债债券A,0.3321
28,2017-08-18,050027,博时信用债纯债债券A,0.3294
28,2017-07-01,160127,南方新兴消费增长分级股票,0.0518
28,2017-08-18,160127,南方新兴消费增长分级股票,0.1275
28,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1999
28,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0866
