客户ID,日期,基金代码,基金名称,配置比例
46,2017-07-01,070008,嘉实货币,1
47,2017-07-01,070008,嘉实货币,0.0971
47,2017-07-01,519153,新华纯债添利C,0.0847
47,2017-07-01,050111,博时信用债券C,0.1882
47,2017-07-01,050002,博时沪深300指数,0.2259
47,2017-07-01,040018,华安香港精选,0.144
47,2017-07-01,050025,博时标普500ETF联接,0.0649
47,2017-07-01,160121,南方金砖四国,0.0833
47,2017-07-01,160416,华安标普全球石油,0.1119
48,2017-07-01,070008,嘉实货币,0.0881
48,2017-07-01,519153,新华纯债添利C,0.0331
48,2017-07-01,050111,博时信用债券C,0.1926
48,2017-07-01,050002,博时沪深300指数,0.25
48,2017-07-01,040018,华安香港精选,0.1106
48,2017-07-01,050025,博时标普500ETF联接,0.0736
48,2017-07-01,160121,南方金砖四国,0.054
48,2017-07-01,160416,华安标普全球石油,0.198
49,2017-07-01,070008,嘉实货币,0.0971
49,2017-07-01,519153,新华纯债添利C,0.0847
49,2017-07-01,050111,博时信用债券C,0.1882
49,2017-07-01,050002,博时沪深300指数,0.2259
49,2017-07-01,040018,华安香港精选,0.144
49,2017-07-01,050025,博时标普500ETF联接,0.0649
49,2017-07-01,160121,南方金砖四国,0.0833
49,2017-07-01,160416,华安标普全球石油,0.1119
50,2017-07-01,070008,嘉实货币,0.0971
50,2017-07-01,519153,新华纯债添利C,0.0847
50,2017-07-01,050111,博时信用债券C,0.1882
50,2017-07-01,050002,博时沪深300指数,0.2259
50,2017-07-01,040018,华安香港精选,0.144
50,2017-07-01,050025,博时标普500ETF联接,0.0649
50,2017-07-01,160121,南方金砖四国,0.0833
50,2017-07-01,160416,华安标普全球石油,0.1119
50,2017-11-24,070008,嘉实货币,0.0971
50,2017-11-24,519153,新华纯债添利C,0.15578
50,2017-11-24,050111,博时信用债券C,0.15056
50,2017-11-24,050002,博时沪深300指数,0.19682
50,2017-11-24,040018,华安香港精选,0.14054
50,2017-11-24,050025,博时标普500ETF联接,0.06312
50,2017-11-24,160121,南方金砖四国,0.09156
50,2017-11-24,160416,华安标普全球石油,0.10452
51,2017-07-01,070008,嘉实货币,0.1371
51,2017-07-01,519153,新华纯债添利C,0.1531
51,2017-07-01,050111,博时信用债券C,0.1738
51,2017-07-01,050002,博时沪深300指数,0.2754
51,2017-07-01,050025,博时标普500ETF联接,0.093
51,2017-07-01,160121,南方金砖四国,0.1676
52,2017-07-01,070008,嘉实货币,0.1371
52,2017-07-01,519153,新华纯债添利C,0.1531
52,2017-07-01,050111,博时信用债券C,0.1738
52,2017-07-01,050002,博时沪深300指数,0.2754
52,2017-07-01,050025,博时标普500ETF联接,0.093
52,2017-07-01,160121,南方金砖四国,0.1676
53,2017-07-01,070008,嘉实货币,0.0971
53,2017-07-01,519153,新华纯债添利C,0.0847
53,2017-07-01,050111,博时信用债券C,0.1882
53,2017-07-01,050002,博时沪深300指数,0.2259
53,2017-07-01,040018,华安香港精选,0.144
53,2017-07-01,050025,博时标普500ETF联接,0.0649
53,2017-07-01,160121,南方金砖四国,0.0833
53,2017-07-01,160416,华安标普全球石油,0.1119
53,2017-11-24,070008,嘉实货币,0.0971
53,2017-11-24,519153,新华纯债添利C,0.321633333
53,2017-11-24,050111,博时信用债券C,0.062733333
53,2017-11-24,050002,博时沪深300指数,0.128966667
53,2017-11-24,040018,华安香港精选,0.132466667
53,2017-11-24,050025,博时标普500ETF联接,0.058966667
53,2017-11-24,160121,南方金砖四国,0.110833333
53,2017-11-24,160416,华安标普全球石油,0.0873
54,2017-07-01,070008,嘉实货币,0.0881
54,2017-07-01,519153,新华纯债添利C,0.0331
54,2017-07-01,050111,博时信用债券C,0.1926
54,2017-07-01,050002,博时沪深300指数,0.25
54,2017-07-01,040018,华安香港精选,0.1106
54,2017-07-01,050025,博时标普500ETF联接,0.0736
54,2017-07-01,160121,南方金砖四国,0.054
