data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20170711,20170711 00:00,21:04:45,399004,35366,512493105.6,635414057.6,20170711
20140912,20140912 00:00,21:00:50,399107,29656,512827688.4,641904946.2,20140912
20071130,20071130 00:00,21:01:02,000300,15889,512985820.2,2332648863,20071130
20140923,20140923 00:00,21:02:16,399107,29712,513186046.5,641113850.7,20140923
20090417,20090417 00:00,21:00:16,000002,18653,513222647.3,1412619315,20090417
20080320,20080320 00:00,21:00:18,000300,16497,513386930.7,1862145123,20080320
20090414,20090414 00:00,21:00:05,000002,18629,513416345.9,1425231467,20090414
20170705,20170705 00:00,21:02:14,399004,35334,513455935.6,637349473.3,20170705
20090505,20090505 00:00,21:00:07,000300,18749,513487064.4,1400263247,20090505
20140919,20140919 00:00,21:01:09,399107,29696,513519067.8,641484393.5,20140919
20071123,20071123 00:00,14:34:15,000300,15841,513659008.7,2394887198,20071122
20170803,20170803 00:00,21:02:45,399004,35502,513890744.3,634278488.3,20170803
20170807,20170807 00:00,21:04:39,399004,35518,513973354.7,633856249.4,20170807
20090902,20090902 00:00,21:00:13,000010,19427,514004145,1303993785,20090902
20080409,20080409 00:00,21:00:10,000001,16598,514112471.3,1783869344,20080409
20090413,20090413 00:00,21:00:05,000001,18619,514261996.2,1423102602,20090413
20090429,20090429 00:00,21:00:17,000002,18717,514315412.1,1393539459,20090429
20140909,20140909 00:00,21:00:50,399106,29630,514593625.5,639704508.6,20140909
20090511,20090511 00:00,21:00:06,000300,18781,514609523.7,1411555680,20090511
20170725,20170725 00:00,21:00:22,399004,35446,514610054.1,635332481.9,20170725
20070824,20070824 00:00,21:00:10,000001,15330,514696008.5,1759193694,20070824
20140922,20140922 00:00,21:01:43,399106,29702,514766754.3,641066630,20140922
20150528,20150528 00:00,21:00:36,399004,31074,514820087.7,600668347.9,20150528
20070904,20070904 00:00,21:00:23,000300,15393,515040808.8,1767504140,20070904
20070831,20070831 00:00,21:00:08,000002,15372,515045362.6,1785652394,20070831
20170808,20170808 00:00,21:00:44,399004,35526,515166748.1,635893984.8,20170808
20170721,20170721 00:00,21:01:01,399004,35430,515400992.7,637301610.7,20170721
20080410,20080410 00:00,21:00:11,000002,16608,515722600.2,1805582958,20080410
20170814,20170814 00:00,21:00:27,399004,35558,515726269.3,635171982.7,20170814
20140915,20140915 00:00,21:01:20,399107,29664,515808363.5,645441606.2,20140915
20170728,20170728 00:00,21:00:38,399004,35470,515889269.9,637205676.4,20170728
20170810,20170810 00:00,21:00:43,399004,35542,515958339.1,635927758,20170810
20070827,20070827 00:00,21:00:06,000001,15338,516250397.3,1773804055,20070827
20140911,20140911 00:00,21:01:02,399106,29646,516252289.3,643705166.7,20140911
20140910,20140910 00:00,21:00:09,399106,29638,516515413.2,643125780.5,20140910
20170720,20170720 00:00,21:01:17,399004,35422,516622473.4,639379520.2,20170720
20080512,20080512 00:00,21:00:17,000300,16777,516669747.7,1785276718,20080512
20150521,20150521 00:00,21:00:43,399004,31034,516970667.5,601416738.6,20150521
20071126,20071126 00:00,21:00:52,000300,15857,517018999.7,2382067320,20071126
20080327,20080327 00:00,21:00:12,000002,16532,517025061.8,1772676710,20080327
20070905,20070905 00:00,21:00:16,000300,15401,517040724.9,1771528278,20070905
20070913,20070913 00:00,21:00:22,000300,15449,517193767.3,1759865886,20070913
20090415,20090415 00:00,21:00:17,000002,18637,517202888.1,1429265581,20090415
20140918,20140918 00:00,21:02:14,399106,29686,517214068.6,643773767.2,20140918
20080606,20080606 00:00,21:00:30,000002,16924,517270592.2,1750641024,20080606
20070903,20070903 00:00,21:00:26,000300,15385,517334537.2,1777172563,20070903
20080321,20080321 00:00,21:00:22,000300,16505,517410421.1,1859191446,20080321
20170724,20170724 00:00,21:00:45,399004,35438,517459156.9,640500129.9,20170724
20070911,20070911 00:00,21:00:07,000001,15426,517462871.8,1764740536,20070911
20070828,20070828 00:00,21:00:06,000001,15346,517520962.2,1789141841,20070828
20071203,20071203 00:00,21:02:22,000300,15897,517697344.6,2331429416,20071203
20141024,20141024 00:00,21:01:14,399107,29876,517773711.3,647006960.3,20141024
20170815,20170815 00:00,21:00:28,399004,35566,517802685.9,637334360.3,20170815
20071113,20071113 00:00,21:01:02,000300,15781,517915996.6,1875517139,20071113
20170731,20170731 00:00,21:02:53,399004,35478,517942595.7,639761607.3,20170731
20170809,20170809 00:00,21:01:34,399004,35534,518002519.4,638377548,20170809
20080508,20080508 00:00,21:00:30,000300,16761,518152695.3,1802925729,20080508
20090416,20090416 00:00,21:00:08,000002,18645,518179187.8,1428075832,20090416
20150625,20150625 00:00,21:02:38,399004,31230,518205357.6,602449463.1,20150625
20150529,20150529 00:00,21:01:44,399004,31082,518369068.5,604448415.6,20150529
20141023,20141023 00:00,21:00:34,399107,29868,518459285.3,647907646.1,20141023
20090430,20090430 00:00,21:00:11,000002,18725,518547664.6,1398213189,20090430
20090417,20090417 00:00,21:00:12,000001,18651,518671222.3,1417906590,20090417
20170802,20170802 00:00,21:00:35,399004,35494,518831849.1,639828207.5,20170802
20090414,20090414 00:00,21:00:04,000001,18627,518895045.6,1430561067,20090414
20170816,20170816 00:00,21:00:10,399004,35574,519148014.1,639662032.1,20170816
20080605,20080605 00:00,21:00:18,000002,16916,519561044.1,1762124751,20080605
20090429,20090429 00:00,21:00:13,000001,18715,519644173,1398706120,20090429
20170818,20170818 00:00,21:00:11,399004,35590,519671675.2,641738155.3,20170818
20170824,20170824 00:00,21:00:15,399004,35622,519707837.5,641264386,20170824
20070926,20070926 00:00,21:00:33,000300,15529,519814140.2,1793307675,20070926
20070910,20070910 00:00,21:00:10,000300,15425,519819655.4,1778481996,20070910
20141027,20141027 00:00,21:01:05,399107,29884,520136398.4,648459246.4,20141027
