ticker,secShortName,endDate,dailyProfit,weeklyYield,publishDate,currencyCd
"001010.OFCN","001010","易方达增金宝货币","2017-02-27",1.0997,3.967,"2017-02-28","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-26",2.1558,3.908,"2017-02-27","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-24",1.1109,3.826,"2017-02-25","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-23",1.0402,3.781,"2017-02-24","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-22",1.0371,3.731,"2017-02-23","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-21",1.0173,3.678,"2017-02-22","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-20",0.9905,3.664,"2017-02-21","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-19",2.0044,3.895,"2017-02-20","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-17",1.0278,3.921,"2017-02-18","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-16",0.9478,3.898,"2017-02-17","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-15",0.9391,3.884,"2017-02-16","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-14",0.9917,3.895,"2017-02-15","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-13",1.4179,3.92,"2017-02-14","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-12",2.0518,3.92,"2017-02-13","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-10",0.9849,3.95,"2017-02-11","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-09",0.9233,3.983,"2017-02-10","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-08",0.9584,4.042,"2017-02-09","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-07",1.0381,4.082,"2017-02-08","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-06",1.4176,4.078,"2017-02-07","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-05",2.1074,3.868,"2017-02-06","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-03",1.0467,3.843,"2017-02-04","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-02",7.2173,3.835,"2017-02-04","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-26",0.9984,3.8,"2017-01-27","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-25",0.9754,3.777,"2017-01-26","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-24",1.073,3.731,"2017-01-25","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-23",1.0563,3.722,"2017-01-24","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-22",2.1208,3.702,"2017-01-23","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-20",0.9295,3.597,"2017-01-21","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-19",0.9556,3.624,"2017-01-20","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-18",0.8908,3.709,"2017-01-19","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-17",1.0549,3.586,"2017-01-18","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-16",1.0204,3.52,"2017-01-17","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-15",1.9268,3.586,"2017-01-16","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-13",0.9789,3.791,"2017-01-14","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-12",1.1125,3.885,"2017-01-13","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-11",0.6631,3.859,"2017-01-12","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-10",0.934,4.02,"2017-01-11","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-09",1.1425,3.894,"2017-01-10","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-08",2.3051,3.938,"2017-01-10","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-06",1.1535,4.017,"2017-01-07","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-05",1.0638,4.072,"2017-01-06","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-04",0.9606,4.116,"2017-01-05","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-03",0.7006,4.246,"2017-01-04","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-01-02",2.45,4.571,"2017-01-04","CNY"
