data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20110915,20110915 00:00,21:00:06,000001,23597,1347473698,1655313507,2011-09-15
20140528,20140528 00:00,21:00:18,000001,29047,1347647334,1494651449,2014-05-28
20140324,20140324 00:00,21:00:06,000001,28683,1347660022,1501322696,2014-03-24
20140611,20140611 00:00,21:00:07,000002,29125,1347671098,1492661765,2014-06-11
20110804,20110804 00:00,21:00:47,000300,23359,1347716010,1666881182,2011-08-04
20130313,20130313 00:00,21:03:24,000001,26627,1347776781,1592470275,2013-03-13
20130125,20130125 00:00,21:01:38,000002,26385,1347783667,1600686149,2013-01-25
20110623,20110623 00:00,21:00:15,000300,23107,1347812578,1651645567,2011-06-23
20140304,20140304 00:00,21:01:23,000001,28571,1347893599,1499648956,2014-03-04
20170904,20170904 00:00,21:00:11,000016,35680,1347928403,1418381242,2017-09-04
20101221,20101221 00:00,21:00:08,000300,22091,1348043314,1701953879,2010-12-21
20140325,20140325 00:00,21:00:08,000001,28691,1348050786,1502118023,2014-03-25
20130903,20130903 00:00,21:00:06,000001,27587,1348074707,1502562741,2013-09-03
20120223,20120223 00:00,21:00:18,000002,24487,1348101340,1644271016,2012-02-23
20131111,20131111 00:00,21:00:22,000002,27949,1348111839,1490395287,2013-11-11
20171011,20171011 00:00,21:00:26,000016,35876,1348200616,1418746696,2017-10-11
20110106,20110106 00:00,21:00:08,000300,22183,1348320332,1722199611,2011-01-06
20120423,20120423 00:00,21:00:10,000001,24809,1348407170,1638805030,2012-04-23
20140224,20140224 00:00,21:01:45,000001,28523,1348471404,1502747724,2014-02-24
20120530,20120530 00:00,21:00:06,000001,25017,1348530957,1640677801,2012-05-30
20131224,20131224 00:00,21:00:05,000001,28195,1348569482,1495119745,2013-12-24
20140818,20140818 00:00,21:01:27,000300,29513,1348734799,1498921704,2014-08-18
20110615,20110615 00:00,21:00:36,000300,23059,1348766874,1652607641,2011-06-15
20120424,20120424 00:00,21:00:25,000001,24817,1349065083,1638962007,2012-04-24
20131114,20131114 00:00,21:00:09,000001,27971,1349099971,1491299419,2013-11-14
20140618,20140618 00:00,21:00:37,000002,29165,1349113248,1493736238,2014-06-18
20110609,20110609 00:00,21:02:18,000300,23027,1349126129,1651774819,2011-06-09
20110131,20110131 00:00,21:00:08,000300,22319,1349127990,1705596757,2011-01-31
20110725,20110725 00:00,21:00:17,000300,23295,1349153594,1668980401,2011-07-25
20150605,20150605 00:00,21:00:06,399106,31118,1349202879,1688900406,2015-06-05
20120319,20120319 00:00,21:00:13,000002,24623,1349290548,1651918898,2012-03-19
20130905,20130905 00:00,21:00:15,000001,27603,1349374365,1505097462,2013-09-05
20131225,20131225 00:00,21:00:49,000002,28205,1349391749,1498271712,2013-12-25
20171012,20171012 00:00,21:00:27,000016,35884,1349393730,1419560516,2017-10-12
20110111,20110111 00:00,21:00:11,000300,22207,1349490914,1714213466,2011-01-11
20110916,20110916 00:00,21:00:06,000001,23605,1349552806,1657463298,2011-09-16
20150617,20150617 00:00,21:00:07,399106,31182,1349588674,1684823975,2015-06-17
20140804,20140804 00:00,21:01:48,000300,29433,1349591478,1499647755,2014-08-04
20110610,20110610 00:00,21:00:18,000300,23035,1349682249,1653262120,2011-06-10
20110114,20110114 00:00,21:00:07,000300,22231,1349733591,1707273975,2011-01-14
20110909,20110909 00:00,21:00:09,000002,23571,1349764134,1659703476,2011-09-09
20120420,20120420 00:00,21:00:08,000002,24803,1349798301,1643181690,2012-04-20
20130516,20130516 00:00,21:00:10,000001,26975,1349801909,1586557920,2013-05-16
20140210,20140210 00:00,21:02:17,000001,28443,1349977476,1503225582,2014-02-10
20110602,20110602 00:00,21:00:15,000300,22991,1350050429,1653495262,2011-06-02
20140303,20140303 00:00,21:00:16,000001,28563,1350083969,1502361380,2014-03-03
20140422,20140422 00:00,21:01:58,000002,28849,1350112937,1502383385,2014-04-22
20110908,20110908 00:00,21:00:09,000002,23563,1350195533,1660130481,2011-09-08
20130314,20130314 00:00,21:00:11,000001,26635,1350239833,1596915365,2013-03-14
20140630,20140630 00:00,21:00:34,000001,29227,1350308885,1495001904,2014-06-30
20130904,20130904 00:00,21:00:15,000001,27595,1350422997,1505864561,2013-09-04
20110914,20110914 00:00,21:00:08,000001,23589,1350482661,1659296121,2011-09-14
20101215,20101215 00:00,21:00:11,000300,22059,1350497201,1706249894,2010-12-15
20120426,20120426 00:00,21:00:42,000002,24835,1350558098,1643158220,2012-04-26
20110527,20110527 00:00,21:00:34,000300,22959,1350617788,1656533347,2011-05-27
20111031,20111031 00:00,21:00:06,000001,23841,1350709660,1664076187,2011-10-31
20130110,20130110 00:00,21:02:54,000001,26295,1350719172,1602511592,2013-01-10
20140721,20140721 00:00,21:00:16,000002,29349,1350751753,1498676707,2014-07-21
20171017,20171017 00:00,21:00:46,000016,35908,1350760565,1419772775,2017-10-17
20120529,20120529 00:00,21:00:27,000001,25009,1350986355,1644083933,2012-05-29
20140702,20140702 00:00,21:01:01,000002,29245,1351017645,1500258868,2014-07-02
20140717,20140717 00:00,21:00:45,000002,29333,1351048361,1499371643,2014-07-17
