用户序号,日期,基金代码,基金名称,配置比例
33,2017-11-13,110027,易方达安心回报A,0.236
33,2017-11-13,000307,易方达黄金ETF联接A,0.146
34,2017-11-13,020026,国泰成长优选,0.618
34,2017-11-13,110027,易方达安心回报A,0.236
34,2017-11-13,000307,易方达黄金ETF联接A,0.146
35,2017-11-13,020026,国泰成长优选,0.146
35,2017-11-13,110027,易方达安心回报A,0.618
35,2017-11-13,000307,易方达黄金ETF联接A,0.236
36,2017-11-13,020026,国泰成长优选,0.236
36,2017-11-13,110027,易方达安心回报A,0.618
36,2017-11-13,000307,易方达黄金ETF联接A,0.146
37,2017-11-13,020026,国泰成长优选,0.146
37,2017-11-13,110027,易方达安心回报A,0.618
37,2017-11-13,000307,易方达黄金ETF联接A,0.236
38,2017-11-13,020026,国泰成长优选,0.618
38,2017-11-13,110027,易方达安心回报A,0.236
38,2017-11-13,000307,易方达黄金ETF联接A,0.146
39,2017-11-13,020026,国泰成长优选,0.618
39,2017-11-13,110027,易方达安心回报A,0.236
39,2017-11-13,000307,易方达黄金ETF联接A,0.146
40,2017-11-13,001826,国寿安保增金宝,1
41,2017-11-13,001826,国寿安保增金宝,1
42,2017-11-13,020026,国泰成长优选,0.152230144
42,2017-11-13,110027,易方达安心回报A,0.479082098
42,2017-11-13,000307,易方达黄金ETF联接A,0.369851751
42,2017-11-14,020026,国泰成长优选,0.124239972
42,2017-11-14,110027,易方达安心回报A,0.40858382
42,2017-11-14,000307,易方达黄金ETF联接A,0.467176208
43,2017-11-13,020026,国泰成长优选,0.236
43,2017-11-13,110027,易方达安心回报A,0.618
43,2017-11-13,000307,易方达黄金ETF联接A,0.146
44,2017-11-13,020026,国泰成长优选,0.618
44,2017-11-13,110027,易方达安心回报A,0.236
44,2017-11-13,000307,易方达黄金ETF联接A,0.146
45,2017-11-13,020026,国泰成长优选,0.618
45,2017-11-13,110027,易方达安心回报A,0.236
45,2017-11-13,000307,易方达黄金ETF联接A,0.146
46,2017-11-13,001826,国寿安保增金宝,1
47,2017-11-13,020026,国泰成长优选,0.236
47,2017-11-13,110027,易方达安心回报A,0.618
47,2017-11-13,000307,易方达黄金ETF联接A,0.146
48,2017-11-13,020026,国泰成长优选,0.236
48,2017-11-13,110027,易方达安心回报A,0.618
48,2017-11-13,000307,易方达黄金ETF联接A,0.146
49,2017-11-13,001826,国寿安保增金宝,1
50,2017-11-13,020026,国泰成长优选,0.236
50,2017-11-13,110027,易方达安心回报A,0.618
50,2017-11-13,000307,易方达黄金ETF联接A,0.146
51,2017-11-13,020026,国泰成长优选,0.236
51,2017-11-13,110027,易方达安心回报A,0.618
51,2017-11-13,000307,易方达黄金ETF联接A,0.146
52,2017-11-13,020026,国泰成长优选,0.146
52,2017-11-13,110027,易方达安心回报A,0.618
52,2017-11-13,000307,易方达黄金ETF联接A,0.236
53,2017-11-13,020026,国泰成长优选,0.236
53,2017-11-13,110027,易方达安心回报A,0.618
53,2017-11-13,000307,易方达黄金ETF联接A,0.146
54,2017-11-13,020026,国泰成长优选,0.618
54,2017-11-13,110027,易方达安心回报A,0.236
54,2017-11-13,000307,易方达黄金ETF联接A,0.146
55,2017-11-13,020026,国泰成长优选,0.236
55,2017-11-13,110027,易方达安心回报A,0.618
