用户序号,日期,基金代码,基金名称,配置比例
18,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
18,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.3
18,2017-12-08,50007,博时平衡配置混合型证券投资基金,0.05
18,2017-12-08,50015,博时大中华亚太精选股票证券投资基金,0.05
18,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1
18,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.1
19,2017-07-03,50003,博时现金收益证券投资基金A级,0.15
19,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.1
19,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
19,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
19,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
19,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
19,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
19,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
19,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
19,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.1575
19,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.1021
19,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1904
19,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
20,2017-07-03,50003,博时现金收益证券投资基金A级,0.15
20,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.1
20,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
20,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
20,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
20,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
20,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
20,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
20,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
20,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.1575
20,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.1021
20,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1904
20,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
21,2017-07-03,50003,博时现金收益证券投资基金A级,0.3
21,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.35
21,2017-07-03,160505,博时主题行业混合型证券投资基金,0.15
21,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.05
21,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
21,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
21,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.05
21,2017-12-08,50003,博时现金收益证券投资基金A级,0.4
21,2017-12-08,50011,博时信用债券投资基金A/B类,0.4
21,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.0946
21,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1054
22,2017-07-03,50003,博时现金收益证券投资基金A级,0.3
22,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.35
22,2017-07-03,160505,博时主题行业混合型证券投资基金,0.15
22,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.05
22,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
22,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
22,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.05
22,2017-12-08,50003,博时现金收益证券投资基金A级,0.4
22,2017-12-08,50011,博时信用债券投资基金A/B类,0.4
22,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.0946
22,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1054
23,2017-07-03,50003,博时现金收益证券投资基金A级,0.05
23,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.25
23,2017-07-03,160505,博时主题行业混合型证券投资基金,0.1
23,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
23,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
23,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.25
23,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.2
23,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
23,2017-12-08,50011,博时信用债券投资基金A/B类,0.2
23,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.25
23,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.05
23,2017-12-08,50007,博时平衡配置混合型证券投资基金,0.1
23,2017-12-08,50015,博时大中华亚太精选股票证券投资基金,0.05
23,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1
23,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
24,2017-07-03,50003,博时现金收益证券投资基金A级,0.05
24,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.15
24,2017-07-03,160505,博时主题行业混合型证券投资基金,0.05
24,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.05
24,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.08
24,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.32
24,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
24,2017-12-08,50003,博时现金收益证券投资基金A级,0.1
24,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
24,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.3
24,2017-12-08,50007,博时平衡配置混合型证券投资基金,0.05
24,2017-12-08,50015,博时大中华亚太精选股票证券投资基金,0.05
24,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1
24,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.1
25,2017-07-03,50003,博时现金收益证券投资基金A级,0.15
25,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.1
25,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
25,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
25,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
25,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.05
25,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
25,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
25,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
25,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.1575
25,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.1021
25,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1904
25,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
26,2017-07-03,50003,博时现金收益证券投资基金A级,0.4
26,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.4
26,2017-07-03,160505,博时主题行业混合型证券投资基金,0.2
26,2017-12-08,50003,博时现金收益证券投资基金A级,0.6
26,2017-12-08,50011,博时信用债券投资基金A/B类,0.4
27,2017-07-03,50003,博时现金收益证券投资基金A级,0.15
27,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.1
27,2017-07-03,160505,博时主题行业混合型证券投资基金,0.25
27,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
