,ticker,secShortName,dailyProfit,weeklyYield,publishDate,currencyCd
2017-07-28,1010,易方达增金宝货币,1.1363,4.271,2017-07-29,CNY
2017-07-27,1010,易方达增金宝货币,1.1264,4.273,2017-07-28,CNY
2017-07-26,1010,易方达增金宝货币,1.1354,4.28,2017-07-27,CNY
2017-07-25,1010,易方达增金宝货币,1.1568,4.2780000000000005,2017-07-26,CNY
2017-07-24,1010,易方达增金宝货币,1.1753,4.221,2017-07-25,CNY
2017-07-23,1010,易方达增金宝货币,1.14525,4.211,2017-07-24,CNY
2017-07-21,1010,易方达增金宝货币,1.14,4.218,2017-07-22,CNY
2017-07-20,1010,易方达增金宝货币,1.1404,4.226,2017-07-21,CNY
2017-07-19,1010,易方达增金宝货币,1.1309,4.2139999999999995,2017-07-20,CNY
2017-07-18,1010,易方达增金宝货币,1.0516,4.203,2017-07-19,CNY
2017-07-17,1010,易方达增金宝货币,1.1583,4.232,2017-07-18,CNY
2017-07-16,1010,易方达增金宝货币,1.1511,4.223,2017-07-17,CNY
2017-07-14,1010,易方达增金宝货币,1.1547,4.1930000000000005,2017-07-15,CNY
2017-07-13,1010,易方达增金宝货币,1.1189,4.178999999999999,2017-07-14,CNY
2017-07-12,1010,易方达增金宝货币,1.1114,4.1739999999999995,2017-07-13,CNY
2017-07-11,1010,易方达增金宝货币,1.1033,4.17,2017-07-12,CNY
2017-07-10,1010,易方达增金宝货币,1.1425,4.157,2017-07-11,CNY
2017-07-09,1010,易方达增金宝货币,1.12375,4.1819999999999995,2017-07-10,CNY
2017-07-07,1010,易方达增金宝货币,1.1284,4.208,2017-07-08,CNY
2017-07-06,1010,易方达增金宝货币,1.1097,4.215,2017-07-07,CNY
2017-07-05,1010,易方达增金宝货币,1.1042,4.246,2017-07-06,CNY
2017-07-04,1010,易方达增金宝货币,1.0783,4.315,2017-07-05,CNY
2017-07-03,1010,易方达增金宝货币,1.189,4.361000000000001,2017-07-04,CNY
2017-07-02,1010,易方达增金宝货币,1.14755,4.5489999999999995,2017-07-03,CNY
2017-06-30,1010,易方达增金宝货币,1.1415,4.551,2017-07-01,CNY
2017-06-29,1010,易方达增金宝货币,1.1668,4.52,2017-06-30,CNY
2017-06-28,1010,易方达增金宝货币,1.2314,4.476,2017-06-29,CNY
2017-06-27,1010,易方达增金宝货币,1.1638,4.4239999999999995,2017-06-28,CNY
2017-06-26,1010,易方达增金宝货币,1.5329,4.413,2017-06-27,CNY
2017-06-25,1010,易方达增金宝货币,1.14925,4.124,2017-06-26,CNY
2017-06-23,1010,易方达增金宝货币,1.0858,4.18,2017-06-24,CNY
2017-06-22,1010,易方达增金宝货币,1.0859999999999999,4.245,2017-06-23,CNY
2017-06-21,1010,易方达增金宝货币,1.1358,4.315,2017-06-22,CNY
2017-06-20,1010,易方达增金宝货币,1.1428,4.371,2017-06-21,CNY
2017-06-19,1010,易方达增金宝货币,1.0024,4.41,2017-06-20,CNY
2017-06-18,1010,易方达增金宝货币,1.2007,4.4830000000000005,2017-06-19,CNY
2017-06-16,1010,易方达增金宝货币,1.2043,4.359,2017-06-17,CNY
2017-06-15,1010,易方达增金宝货币,1.2151,4.29,2017-06-16,CNY
2017-06-14,1010,易方达增金宝货币,1.2384,4.2,2017-06-15,CNY
2017-06-13,1010,易方达增金宝货币,1.2144,4.107,2017-06-14,CNY
2017-06-12,1010,易方达增金宝货币,1.1373,4.044,2017-06-13,CNY
2017-06-11,1010,易方达增金宝货币,1.08665,4.023,2017-06-13,CNY
2017-06-09,1010,易方达增金宝货币,1.0779,4.04,2017-06-10,CNY
2017-06-08,1010,易方达增金宝货币,1.0487,4.034,2017-06-09,CNY
2017-06-07,1010,易方达增金宝货币,1.0687,4.038,2017-06-08,CNY
2017-06-06,1010,易方达增金宝货币,1.0969,4.051,2017-06-07,CNY
2017-06-05,1010,易方达增金宝货币,1.0982,4.0360000000000005,2017-06-06,CNY
2017-06-04,1010,易方达增金宝货币,1.10275,4.021,2017-06-05,CNY
2017-06-02,1010,易方达增金宝货币,1.0671,3.99,2017-06-03,CNY
2017-06-01,1010,易方达增金宝货币,1.0553,3.9819999999999998,2017-06-02,CNY
2017-05-31,1010,易方达增金宝货币,1.0926,3.98,2017-06-01,CNY
2017-05-30,1010,易方达增金宝货币,1.07195,3.969,2017-06-01,CNY
2017-05-26,1010,易方达增金宝货币,1.0527,3.815,2017-05-27,CNY
2017-05-25,1010,易方达增金宝货币,1.0512,3.761,2017-05-26,CNY
2017-05-24,1010,易方达增金宝货币,1.0728,3.702,2017-05-25,CNY
2017-05-23,1010,易方达增金宝货币,1.0778,3.6430000000000002,2017-05-24,CNY
2017-05-22,1010,易方达增金宝货币,0.8956,3.61,2017-05-23,CNY
2017-05-21,1010,易方达增金宝货币,1.01535,3.688,2017-05-22,CNY
2017-05-19,1010,易方达增金宝货币,0.953,3.717,2017-05-20,CNY
2017-05-18,1010,易方达增金宝货币,0.9414,3.755,2017-05-19,CNY
2017-05-17,1010,易方达增金宝货币,0.9640000000000001,3.812,2017-05-18,CNY
2017-05-16,1010,易方达增金宝货币,1.0178,3.8489999999999998,2017-05-17,CNY
2017-05-15,1010,易方达增金宝货币,1.0397,3.822,2017-05-16,CNY
2017-05-14,1010,易方达增金宝货币,1.0419,3.835,2017-05-15,CNY
2017-05-12,1010,易方达增金宝货币,1.023,3.845,2017-05-13,CNY
2017-05-11,1010,易方达增金宝货币,1.0471,3.855,2017-05-12,CNY
2017-05-10,1010,易方达增金宝货币,1.0328,3.852,2017-05-11,CNY
2017-05-09,1010,易方达增金宝货币,0.9673,3.867,2017-05-10,CNY
2017-05-08,1010,易方达增金宝货币,1.063,3.918,2017-05-09,CNY
2017-05-07,1010,易方达增金宝货币,1.05115,3.917,2017-05-08,CNY
2017-05-05,1010,易方达增金宝货币,1.0418,3.925,2017-05-06,CNY
2017-05-04,1010,易方达增金宝货币,1.0414,3.9360000000000004,2017-05-05,CNY
2017-05-03,1010,易方达增金宝货币,1.0617,3.9419999999999997,2017-05-04,CNY
2017-05-02,1010,易方达增金宝货币,1.0616,3.9389999999999996,2017-05-03,CNY
2017-05-01,1010,易方达增金宝货币,1.0591333333333333,3.945,2017-05-03,CNY
2017-04-28,1010,易方达增金宝货币,1.0615,3.911,2017-04-29,CNY
2017-04-27,1010,易方达增金宝货币,1.053,3.906,2017-04-28,CNY
2017-04-26,1010,易方达增金宝货币,1.0569,3.862,2017-04-27,CNY
2017-04-25,1010,易方达增金宝货币,1.0714,3.82,2017-04-26,CNY
2017-04-24,1010,易方达增金宝货币,1.0543,3.782,2017-04-25,CNY
2017-04-23,1010,易方达增金宝货币,1.0304,3.7539999999999996,2017-04-25,CNY
2017-04-21,1010,易方达增金宝货币,1.0523,3.71,2017-04-22,CNY
2017-04-20,1010,易方达增金宝货币,0.9716,3.6839999999999997,2017-04-21,CNY
2017-04-19,1010,易方达增金宝货币,0.9793,3.7460000000000004,2017-04-20,CNY
2017-04-18,1010,易方达增金宝货币,1.0015,3.739,2017-04-19,CNY
2017-04-17,1010,易方达增金宝货币,1.002,3.736,2017-04-18,CNY
2017-04-16,1010,易方达增金宝货币,0.9895,3.741,2017-04-18,CNY
2017-04-14,1010,易方达增金宝货币,1.0053,3.78,2017-04-15,CNY
2017-04-13,1010,易方达增金宝货币,1.0857,3.802,2017-04-14,CNY
2017-04-12,1010,易方达增金宝货币,0.9672,3.804,2017-04-13,CNY
2017-04-11,1010,易方达增金宝货币,0.9946,3.88,2017-04-12,CNY
2017-04-10,1010,易方达增金宝货币,1.0128,3.935,2017-04-11,CNY
2017-04-09,1010,易方达增金宝货币,1.02565,3.98,2017-04-10,CNY
2017-04-07,1010,易方达增金宝货币,1.0455,4.056,2017-04-08,CNY
2017-04-06,1010,易方达增金宝货币,1.0885,4.0360000000000005,2017-04-07,CNY
2017-04-05,1010,易方达增金宝货币,1.1084,3.975,2017-04-06,CNY
2017-04-04,1010,易方达增金宝货币,1.095975,3.929,2017-04-06,CNY
2017-03-31,1010,易方达增金宝货币,1.0071,4.0089999999999995,2017-04-01,CNY
2017-03-30,1010,易方达增金宝货币,0.9776,3.977,2017-03-31,CNY
2017-03-29,1010,易方达增金宝货币,1.0229,4.026,2017-03-30,CNY
2017-03-28,1010,易方达增金宝货币,1.0515,3.9619999999999997,2017-03-29,CNY
2017-03-27,1010,易方达增金宝货币,1.3173,4.007,2017-03-28,CNY
2017-03-26,1010,易方达增金宝货币,1.08145,4.633,2017-03-27,CNY
2017-03-24,1010,易方达增金宝货币,0.9475,4.55,2017-03-25,CNY
2017-03-23,1010,易方达增金宝货币,1.0689,4.583,2017-03-24,CNY
2017-03-22,1010,易方达增金宝货币,0.9049,4.55,2017-03-23,CNY
2017-03-21,1010,易方达增金宝货币,1.1342,4.579,2017-03-22,CNY
2017-03-20,1010,易方达增金宝货币,2.4677,4.501,2017-03-21,CNY
2017-03-19,1010,易方达增金宝货币,1.00505,3.719,2017-03-20,CNY
2017-03-17,1010,易方达增金宝货币,1.0083,3.753,2017-03-18,CNY
2017-03-16,1010,易方达增金宝货币,1.0079,3.773,2017-03-17,CNY
2017-03-15,1010,易方达增金宝货币,0.9589,3.775,2017-03-16,CNY
2017-03-14,1010,易方达增金宝货币,0.9912,3.772,2017-03-15,CNY
2017-03-13,1010,易方达增金宝货币,1.0272,3.76,2017-03-14,CNY
2017-03-12,1010,易方达增金宝货币,1.03615,3.7319999999999998,2017-03-13,CNY
2017-03-10,1010,易方达增金宝货币,1.0452,3.668,2017-03-11,CNY
2017-03-09,1010,易方达增金宝货币,1.0112,3.642,2017-03-10,CNY
2017-03-08,1010,易方达增金宝货币,0.9536,3.645,2017-03-09,CNY
2017-03-07,1010,易方达增金宝货币,0.9690000000000001,3.6860000000000004,2017-03-08,CNY
2017-03-06,1010,易方达增金宝货币,0.9767,3.73,2017-03-07,CNY
2017-03-05,1010,易方达增金宝货币,0.9764,3.7969999999999997,2017-03-06,CNY
2017-03-03,1010,易方达增金宝货币,0.9976,3.907,2017-03-04,CNY
2017-03-02,1010,易方达增金宝货币,1.0166,3.968,2017-03-03,CNY
2017-03-01,1010,易方达增金宝货币,1.0304,3.9810000000000003,2017-03-02,CNY
2017-02-28,1010,易方达增金宝货币,1.0502,3.985,2017-03-01,CNY
2017-02-27,1010,易方达增金宝货币,1.0997,3.967,2017-02-28,CNY
2017-02-26,1010,易方达增金宝货币,1.0779,3.908,2017-02-27,CNY
2017-02-24,1010,易方达增金宝货币,1.1109,3.826,2017-02-25,CNY
2017-02-23,1010,易方达增金宝货币,1.0402,3.781,2017-02-24,CNY
2017-02-22,1010,易方达增金宝货币,1.0371,3.7310000000000003,2017-02-23,CNY
2017-02-21,1010,易方达增金宝货币,1.0173,3.678,2017-02-22,CNY
2017-02-20,1010,易方达增金宝货币,0.9905,3.6639999999999997,2017-02-21,CNY
2017-02-19,1010,易方达增金宝货币,1.0022,3.895,2017-02-20,CNY
2017-02-17,1010,易方达增金宝货币,1.0278,3.9210000000000003,2017-02-18,CNY
2017-02-16,1010,易方达增金宝货币,0.9478,3.898,2017-02-17,CNY
2017-02-15,1010,易方达增金宝货币,0.9391,3.884,2017-02-16,CNY
2017-02-14,1010,易方达增金宝货币,0.9917,3.895,2017-02-15,CNY
2017-02-13,1010,易方达增金宝货币,1.4179,3.92,2017-02-14,CNY
2017-02-12,1010,易方达增金宝货币,1.0259,3.92,2017-02-13,CNY
2017-02-10,1010,易方达增金宝货币,0.9849,3.95,2017-02-11,CNY
2017-02-09,1010,易方达增金宝货币,0.9233,3.983,2017-02-10,CNY
2017-02-08,1010,易方达增金宝货币,0.9584,4.042,2017-02-09,CNY
2017-02-07,1010,易方达增金宝货币,1.0381,4.082,2017-02-08,CNY
2017-02-06,1010,易方达增金宝货币,1.4176,4.078,2017-02-07,CNY
2017-02-05,1010,易方达增金宝货币,1.0537,3.8680000000000003,2017-02-06,CNY
2017-02-03,1010,易方达增金宝货币,1.0467,3.843,2017-02-04,CNY
2017-02-02,1010,易方达增金宝货币,1.0310428571428571,3.835,2017-02-04,CNY
2017-01-26,1010,易方达增金宝货币,0.9984,3.8,2017-01-27,CNY
2017-01-25,1010,易方达增金宝货币,0.9754,3.7769999999999997,2017-01-26,CNY
2017-01-24,1010,易方达增金宝货币,1.073,3.7310000000000003,2017-01-25,CNY
2017-01-23,1010,易方达增金宝货币,1.0563,3.722,2017-01-24,CNY
2017-01-22,1010,易方达增金宝货币,1.0604,3.702,2017-01-23,CNY
2017-01-20,1010,易方达增金宝货币,0.9295,3.597,2017-01-21,CNY
2017-01-19,1010,易方达增金宝货币,0.9556,3.6239999999999997,2017-01-20,CNY
2017-01-18,1010,易方达增金宝货币,0.8908,3.7089999999999996,2017-01-19,CNY
2017-01-17,1010,易方达增金宝货币,1.0549,3.5860000000000003,2017-01-18,CNY
2017-01-16,1010,易方达增金宝货币,1.0204,3.52,2017-01-17,CNY
2017-01-15,1010,易方达增金宝货币,0.9634,3.5860000000000003,2017-01-16,CNY
2017-01-13,1010,易方达增金宝货币,0.9789,3.7910000000000004,2017-01-14,CNY
2017-01-12,1010,易方达增金宝货币,1.1125,3.885,2017-01-13,CNY
2017-01-11,1010,易方达增金宝货币,0.6631,3.859,2017-01-12,CNY
2017-01-10,1010,易方达增金宝货币,0.934,4.02,2017-01-11,CNY
2017-01-09,1010,易方达增金宝货币,1.1425,3.8939999999999997,2017-01-10,CNY
2017-01-08,1010,易方达增金宝货币,1.15255,3.938,2017-01-10,CNY
2017-01-06,1010,易方达增金宝货币,1.1535,4.0169999999999995,2017-01-07,CNY
2017-01-05,1010,易方达增金宝货币,1.0638,4.072,2017-01-06,CNY
2017-01-04,1010,易方达增金宝货币,0.9606,4.1160000000000005,2017-01-05,CNY
2017-01-03,1010,易方达增金宝货币,0.7006,4.246,2017-01-04,CNY
2017-01-02,1010,易方达增金宝货币,1.225,4.571000000000001,2017-01-04,CNY
2017-01-01,,,1.225,,,
2017-01-07,,,1.15255,,,
2017-01-14,,,0.9634,,,
2017-01-21,,,1.0604,,,
2017-01-27,,,1.0310428571428571,,,
2017-01-28,,,1.0310428571428571,,,
2017-01-29,,,1.0310428571428571,,,
2017-01-30,,,1.0310428571428571,,,
2017-01-31,,,1.0310428571428571,,,
2017-02-01,,,1.0310428571428571,,,
2017-02-04,,,1.0537,,,
2017-02-11,,,1.0259,,,
2017-02-18,,,1.0022,,,
2017-02-25,,,1.0779,,,
2017-03-04,,,0.9764,,,
2017-03-11,,,1.03615,,,
2017-03-18,,,1.00505,,,
2017-03-25,,,1.08145,,,
2017-04-01,,,1.095975,,,
2017-04-02,,,1.095975,,,
2017-04-03,,,1.095975,,,
2017-04-08,,,1.02565,,,
2017-04-15,,,0.9895,,,
2017-04-22,,,1.0304,,,
2017-04-29,,,1.0591333333333333,,,
2017-04-30,,,1.0591333333333333,,,
2017-05-06,,,1.05115,,,
2017-05-13,,,1.0419,,,
2017-05-20,,,1.01535,,,
2017-05-27,,,1.07195,,,
2017-05-28,,,1.07195,,,
2017-05-29,,,1.07195,,,
2017-06-03,,,1.10275,,,
2017-06-10,,,1.08665,,,
2017-06-17,,,1.2007,,,
2017-06-24,,,1.14925,,,
2017-07-01,,,1.14755,,,
2017-07-08,,,1.12375,,,
2017-07-15,,,1.1511,,,
2017-07-22,,,1.14525,,,
2017-07-29,,,1.14755,,,
2017-08-05,,,1.1331,,,
2017-08-12,,,1.0802,,,
2017-08-19,,,1.09425,,,
2017-08-26,,,1.09945,,,
2017-09-02,,,1.17545,,,
2017-09-09,,,1.1336,,,
2017-09-16,,,1.0995,,,
