,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
25,20187.510058961783,20189.449876803348,20191.279444751184,20193.115437791097,20195.16665445727
26,31281.935509573646,31180.758283138413,31058.658401685203,31240.20920566495,31318.63014695684
27,52277.22677535365,52094.52176531749,51779.24064332455,52138.34925668981,52302.665351749776
28,104554.45353051963,104189.04351051789,103558.48126665375,104276.6984932456,104605.33068330208
29,209108.90716197746,208378.08712162112,207116.96263328407,208553.3970871612,209210.66146759142
30,208609.76203887752,207924.6067552921,207099.43545178886,208328.83053252596,208855.08246197735
31,104554.45353051963,104189.04351051789,103558.48126665375,104276.6984932456,104605.33068330208
32,53851.92538508726,53511.37032570169,53160.15571544776,53423.92583936954,53537.35042717992
33,32311.155229037133,32106.822193418535,31896.09342727933,32054.35550162252,32122.410254304505
34,21275.85368996238,21201.496167543362,21073.182646790734,21219.333136938134,21286.206714842803
35,15648.071974299712,15596.12576632955,15533.978328494013,15626.883017122984,15666.623201426573
36,10432.047982866476,10397.417177553032,10355.985552329343,10417.922011415321,10444.415467617717
37,5385.192538508725,5351.137032570168,5316.0155715447745,5342.392583936953,5353.735042717992
38,2154.0770156050103,2140.454813228313,2126.406228816842,2136.9570337747,2141.4940172875395
39,1043.2047982866477,1039.7417177553034,1035.5985552329344,1041.7922011415324,1044.4415467617716
40,1042.7311839879453,1039.3586097723526,1035.2886137226026,1041.3403071905411,1043.9543385677787
41,2085.4623669694192,2078.7172185414893,2070.5772264459174,2082.6806133759537,2087.908676127905
42,5365.153745194473,5331.710331077144,5296.422539152545,5322.482579012503,5333.565840580442
43,10771.479249101949,10704.335778794766,10633.489399265962,10685.809461637657,10708.061036832194
44,16157.218878691809,16056.503673199622,15950.23410387327,16028.71419745529,16062.091560257504
45,20187.510058961783,20189.449876803348,20191.279444751184,20193.115437791097,20195.16665445727
46,31913.780534943573,31802.244251315053,31609.773970186106,31828.99970540721,31929.310072264212
47,53854.6611153352,53516.52478425784,53163.80160406204,53426.48687919878,53538.828167032734
48,104554.45353051963,104189.04351051789,103558.48126665375,104276.6984932456,104605.33068330208
49,209108.90716197746,208378.08712162112,207116.96263328407,208553.3970871612,209210.66146759142
50,208609.76203887752,207924.6067552921,207099.43545178886,208328.83053252596,208855.08246197735
51,104304.88101943876,103962.30337764605,103549.71772589443,104164.41526626298,104427.54123098867
52,53189.634224905945,53003.7404188584,52682.95661697684,53048.332842345335,53215.51678710701
53,32312.796667185736,32109.914868551976,31898.280960447693,32055.89212551991,32123.296898216075
54,21541.864448149456,21406.609915705856,21265.520643614338,21370.594753678866,21415.531268816652
55,15648.572661740312,15596.917092680855,15534.620676798937,15627.359692329868,15667.001501376155
56,10432.381771137989,10397.944725109428,10356.41378120151,10418.239791535578,10444.667664224602
57,5385.466111533518,5351.652478425783,5316.380160406204,5342.648687919877,5353.8828167032725
58,2154.1864448149468,2140.6609915705876,2126.5520643614354,2137.059475367888,2141.5531268816667
59,1023.4607365149752,1022.8495537109733,1021.3923272188063,1023.0590922894095,1024.0398094268353
60,1023.543304636886,1022.9301153151611,1021.4709252887404,1023.135972371713,1024.1297868074698
61,2047.0866102758528,2045.860231631803,2042.9418515775333,2046.271945745109,2048.2595746175944
62,5386.013082602624,5352.683270487158,5317.109194198982,5343.160717635732,5354.178152872346
63,10772.026163189525,10705.366538971066,10634.218386408029,10686.321433271783,10708.356303740882
64,15353.1495795741,15343.951739742224,15322.063889331628,15347.039595592523,15361.946812138598
65,20187.510058961783,20189.449876803348,20191.279444751184,20193.115437791097,20195.16665445727
66,31282.159078183584,31181.651802734348,31059.59773156586,31240.34980536851,31318.765879090555
