,客户风险能力类型,新老客户种类,性别,存款比例,基金1比例,基金2比例,基金3比例
0.00000000 ,C3平衡性(41-60),新客户,女,0.25000000 ,0.33967653 ,0.14015448 ,0.27016899 
0.00000000 ,C3平衡性(41-60),新客户,女,0.25000000 ,0.18144429 ,0.00000000 ,0.56855571 
0.00000000 ,C3平衡性(41-60),新客户,女,0.25000000 ,0.00618049 ,0.04491261 ,0.69890690 
0.00000000 ,C3平衡性(41-60),新客户,女,0.25000000 ,0.00000014 ,0.20485774 ,0.54514213 
0.00000000 ,C3平衡性(41-60),新客户,女,0.25000000 ,0.00000000 ,0.44804531 ,0.30195469 
0.00000000 ,C3平衡性(41-60),新客户,女,0.25000000 ,0.03424062 ,0.00347601 ,0.71228337 
0.00000000 ,C3平衡性(41-60),新客户,女,0.25000000 ,0.00000000 ,0.00000000 ,0.75000000 
0.00000000 ,C3平衡性(41-60),增1老客户,男,0.04400000 ,0.66920000 ,0.11950000 ,0.16730000 
0.00000000 ,C3平衡性(41-60),增1老客户,男,0.04400000 ,0.06543221 ,0.89056778 ,0.00000000 
0.00000000 ,C3平衡性(41-60),增1老客户,男,0.04400000 ,0.43297435 ,0.17865025 ,0.34437540 
0.00000000 ,C3平衡性(41-60),增1老客户,男,0.04400000 ,0.23128099 ,0.00000000 ,0.72471901 
0.00000000 ,C3平衡性(41-60),增1老客户,男,0.04400000 ,0.00787806 ,0.05724861 ,0.89087333 
0.00000000 ,C3平衡性(41-60),增1老客户,男,0.04400000 ,0.00000017 ,0.26112533 ,0.69487450 
0.00000000 ,C3平衡性(41-60),增1老客户,男,0.04400000 ,0.00000000 ,0.57110843 ,0.38489157 
0.00000000 ,C3平衡性(41-60),增1老客户,男,0.04400000 ,0.04364538 ,0.00443075 ,0.90792387 
0.00000000 ,C3平衡性(41-60),增1老客户,男,0.04400000 ,0.00000000 ,0.00000000 ,0.95600000 
