,2017/11/24,2017/11/27,2017/11/28,2017/11/29,2017/11/30,2017/12/1,2017/12/4,2017/12/5,2017/12/6,2017/12/7,2017/12/8
18,1991.71616,1985.817729,1989.552708,1989.76788,1987.51557,1985.69914,1988.064913,1986.880828,1981.867442,1980.649684,1983.269667
19,995.85808,992.9088646,994.7763541,994.8839398,993.7577848,992.8495702,994.0324564,993.4404142,990.9337208,990.324842,991.6348337
20,996.59488,995.8382151,995.6127367,995.4884689,995.8630384,995.6622796,996.3248903,996.4226746,996.9401928,996.9772923,997.2031184
21,1993.18976,1991.67643,1991.225473,1990.976938,1991.726077,1991.324559,1992.649781,1992.845349,1993.880386,1993.954585,1994.406237
22,4978.3088,4944.014663,4964.433106,4969.254895,4950.257381,4951.086633,4959.373871,4952.583113,4924.065278,4919.945354,4933.433765
23,9955.768,9869.159921,9919.754989,9935.267575,9881.171973,9888.414241,9908.158769,9888.298231,9814.665519,9805.690351,9837.488118
24,14937.8712,14895.48826,14926.78339,14928.08001,14915.2863,14901.0965,14917.79322,14907.67532,14870.41602,14863.77781,14882.6157
25,20000,20002.048,20004.10141,20006.20044,20008.30529,20010.41877,20012.51046,20014.57655,20016.62504,20018.6243,20020.67881
26,29875.7424,29790.97651,29853.56678,29856.16001,29830.57261,29802.193,29835.58644,29815.35065,29740.83204,29727.55562,29765.23141
27,49781.216,49431.44009,49636.87255,49684.38407,49491.50965,49499.81544,49583.65947,49518.44697,49230.19278,49185.57009,49324.89604
28,99562.432,98862.88018,99273.7451,99368.76815,98983.0193,98999.63089,99167.31895,99036.89395,98460.38556,98371.14018,98649.79209
29,199124.864,197725.7604,198547.4902,198737.5363,197966.0386,197999.2618,198334.6379,198073.7879,196920.7711,196742.2804,197299.5842
30,199171.52,198593.8958,198989.3101,199008.7398,198810.7317,198625.2946,198854.9581,198728.3343,198229.2223,198123.9488,198380.627
31,99562.432,98862.88018,99273.7451,99368.76815,98983.0193,98999.63089,99167.31895,99036.89395,98460.38556,98371.14018,98649.79209
32,49775.384,49336.52048,49586.23694,49659.57566,49385.61199,49418.07431,49517.88627,49424.38986,49051.50683,49001.27808,49165.74074
33,29865.2304,29601.91229,29751.74216,29795.7454,29631.3672,29650.84458,29710.73176,29654.63392,29430.9041,29400.76685,29499.44445
34,19911.7568,19769.15604,19851.8013,19870.50749,19792.20928,19795.51601,19829.43445,19804.43171,19687.90192,19668.68969,19726.18093
35,14937.8712,14893.63297,14921.64531,14923.2591,14906.36677,14892.74355,14910.48685,14901.60621,14864.00581,14854.87263,14874.5225
36,9958.5808,9929.088646,9947.763541,9948.839398,9937.577848,9928.495702,9940.324564,9934.404142,9909.337208,9903.24842,9916.348337
37,4977.5384,4933.652048,4958.623694,4965.957566,4938.561199,4941.807431,4951.788627,4942.438986,4905.150683,4900.127808,4916.574074
38,1991.01536,1973.460819,1983.449477,1986.383026,1975.42448,1976.722972,1980.715451,1976.975594,1962.060273,1960.051123,1966.62963
39,995.85808,992.9088646,994.7763541,994.8839398,993.7577848,992.8495702,994.0324564,993.4404142,990.9337208,990.324842,991.6348337
40,995.85808,993.0325504,995.1188928,995.2053338,994.3524203,993.4064332,994.5195479,993.8450215,991.3610679,990.9185208,992.1743802
41,1991.71616,1986.065101,1990.237786,1990.410668,1988.704841,1986.812866,1989.039096,1987.690043,1982.722136,1981.837042,1984.34876
42,4977.884,4934.579961,4959.877494,4967.633788,4940.585987,4944.20712,4954.079384,4944.149115,4907.332759,4902.845175,4918.744059
