,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
79,1028.6076275916837,1027.1819822755817,1025.8183233034977,1028.18535877073,1025.984908143133
80,1028.6076275916837,1027.1819822755817,1025.8183233034977,1028.18535877073,1025.984908143133
81,2047.696128980076,2047.5525019248628,2041.5074405878127,2046.3812159309462,2041.8554140146293
82,5303.594518122442,5296.960505911128,5265.010009383197,5296.801058364647,5278.315333688021
83,10607.327124055351,10594.079416638468,10530.180834279632,10593.759476549534,10556.770933159345
84,15620.155033265559,15614.576683954492,15548.33276868102,15610.120214984354,15566.25717806597
85,21214.45212718241,21182.455944155037,21054.50219287979,21181.75232380178,21112.901291857343
86,31239.744112988763,31228.644744325735,31096.111142185175,31219.692117409242,31131.857066787794
87,53036.276584775165,52956.34721038513,52636.4589712677,52954.498540050015,52782.40287496623
88,106072.61997051662,105912.62759140746,105272.85071026265,105909.10550608144,105564.84719432596
89,211938.10163341675,211706.59779700125,210431.4064869055,211701.89482988635,210930.82340921435
90,208237.51630884802,208194.15164222367,207311.6026092205,208135.82210780354,207521.22674512482
91,104130.55462281064,104093.56576243574,103651.80262119713,104063.93322258216,103771.15105967892
92,53036.276584775165,52956.34721038513,52636.4589712677,52954.498540050015,52782.40287496623
93,32420.54472793141,32296.84584072243,32025.800028375117,32331.742605226304,32278.092205525798
94,21214.45212718241,21182.455944155037,21054.50219287979,21181.75232380178,21112.901291857343
95,15140.632541340996,15142.087404721893,15143.45958068251,15144.836575462181,15146.374987961517
96,10413.697440116859,10409.998943388578,10365.801985585633,10406.992917653708,10377.751345891258
97,5303.594518122442,5296.960505911128,5265.010009383197,5296.801058364647,5278.315333688021
98,2122.364944582735,2119.8474546064062,2106.9361756147714,2119.682486660903,2112.004382042491
99,1046.0175051274277,1045.617128667182,1040.6060885439792,1045.2092572566212,1041.9323878918385
