,2017/7/3,2017/7/4,2017/7/5,2017/7/6,2017/7/7,2017/7/10,2017/7/11,2017/7/12,2017/7/13,2017/7/14,2017/7/17,2017/7/18,2017/7/19,2017/7/20,2017/7/21,2017/7/24,2017/7/25,2017/7/26,2017/7/27,2017/7/28,2017/7/31,2017/8/1,2017/8/2,2017/8/3,2017/8/4,2017/8/7,2017/8/8,2017/8/9,2017/8/10,2017/8/11,2017/8/14,2017/8/15,2017/8/16,2017/8/17,2017/8/18,2017/8/21,2017/8/22,2017/8/23,2017/8/24,2017/8/25,2017/8/28,2017/8/29,2017/8/30,2017/8/31,2017/9/1,2017/9/4,2017/9/5,2017/9/6,2017/9/7,2017/9/8,2017/9/11,2017/9/12,2017/9/13,2017/9/14,2017/9/15,2017/9/18,2017/9/19,2017/9/20,2017/9/21,2017/9/22,2017/9/25,2017/9/26,2017/9/27,2017/9/28,2017/9/29,2017/9/30,2017/10/3,2017/10/4,2017/10/6,2017/10/9,2017/10/10,2017/10/11,2017/10/12,2017/10/13,2017/10/16,2017/10/17,2017/10/18,2017/10/19,2017/10/20,2017/10/23,2017/10/24,2017/10/25,2017/10/26,2017/10/27
10,200010.9679,199803.8801,199935.4025,199779.0904,199672.8561,199964.6458,200405.0399,200825.4847,201064.1968,201356.6724,201294.8412,201352.2808,201585.9198,201658.7406,201530.5576,201662.8972,201722.9437,201961.2067,202012.2243,201830.4828,202075.5233,202307.3462,202367.0037,202260.8589,202246.4945,202649.5205,202839.9087,202608.0317,201889.6502,201362.0545,201900.821,201953.8741,202310.9474,202059.603,201836.2497,201975.8729,202332.1163,202506.5542,202657.6065,203071.1936,202857.8051,202805.7586,202960.5952,202959.0988,202943.2346,202686.5786,202411.5883,202509.232,202510.6808,202427.9682,202913.8541,203204.0832,203180.3642,203197.2963,203390.9444,203727.4961,203677.7656,203940.5547,204044.9318,203950.1312,203546.1099,203676.2189,203687.4448,203616.6166,203968.1514,203978.4547,203988.7561,203999.0585,204009.3021,205130.8078,205218.6025,204978.977,204995.0141,205196.4221,205121.0562,205017.9663,205732.9995,205182.2687,205443.7494,205414.5379,205906.8753,206510.6412,206372.5982,207247.2682
11,100005.484,99901.94005,99967.70127,99889.5452,99836.42804,99982.32289,100202.5199,100412.7424,100532.0984,100678.3362,100647.4206,100676.1404,100792.9599,100829.3703,100765.2788,100831.4486,100861.4718,100980.6034,101006.1122,100915.2414,101037.7616,101153.6731,101183.5018,101130.4295,101123.2473,101324.7602,101419.9544,101304.0158,100944.8251,100681.0272,100950.4105,100976.937,101155.4737,101029.8015,100918.1248,100987.9365,101166.0581,101253.2771,101328.8033,101535.5968,101428.9025,101402.8793,101480.2976,101479.5494,101471.6173,101343.2893,101205.7941,101254.616,101255.3404,101213.9841,101456.9271,101602.0416,101590.1821,101598.6482,101695.4722,101863.748,101838.8828,101970.2773,102022.4659,101975.0656,101773.055,101838.1094,101843.7224,101808.3083,101984.0757,101989.2274,101994.378,101999.5292,102004.6511,102565.4039,102609.3012,102489.4885,102497.5071,102598.211,102560.5281,102508.9832,102866.4997,102591.1343,102721.8747,102707.2689,102953.4377,103255.3206,103186.2991,103623.6341
12,50003.76393,49974.01205,49999.25333,49969.5232,49960.3545,50008.20919,50077.34773,50148.82355,50188.1536,50238.402,50227.78506,50239.76256,50280.2269,50293.33311,50274.54588,50295.27301,50310.14415,50349.39974,50355.25501,50328.85673,50366.00527,50403.76771,50416.18772,50400.09682,50400.27296,50466.44377,50494.76627,50459.29534,50333.88525,50254.12107,50346.54695,50357.41739,50416.71212,50365.2823,50331.70094,50355.37007,50419.0949,50444.69507,50466.29688,50533.89818,50500.30367,50494.1674,50521.3049,50526.70121,50526.52198,50488.73179,50434.21326,50452.97041,50454.42351,50439.03029,50524.23707,50577.58984,50577.90889,50583.08233,50615.44186,50670.08376,50666.82096,50711.62562,50729.65894,50717.18555,50656.45915,50680.45535,50684.30782,50683.30678,50743.73538,50747.27122,50750.80639,50754.34193,50757.8573,50942.47484,50956.72924,50917.23749,50919.8658,50954.09174,50985.15381,50978.03381,51002.84571,50935.46918,51007.74463,50975.93377,50981.99041,51017.91541,50970.6326,51066.9274
13,30001.23995,29911.10588,29956.13098,29944.38004,29904.30409,29982.58529,30117.46377,30213.04657,30292.89188,30375.19065,30353.06352,30373.99251,30457.02891,30459.23303,30419.59056,30465.45042,30465.13666,30510.88973,30523.11516,30463.87295,30563.9148,30603.09406,30644.19791,30609.4399,30639.3865,30767.06019,30811.72637,30746.45928,30536.9888,30344.23078,30494.62849,30500.78829,30602.67485,30580.34521,30519.1303,30568.33772,30658.06691,30690.75173,30719.60464,30832.9975,30760.77546,30732.60727,30781.12822,30799.78998,30804.01157,30706.71189,30673.60673,30679.3188,30679.24871,30668.35198,30750.9898,30844.85726,30854.71265,30853.94764,30876.22053,30972.36718,30951.25552,31043.01045,31076.94492,31025.52642,30857.26574,30869.29444,30870.56356,30855.31106,30948.95645,30950.12127,30951.28586,30952.45058,30953.60865,31276.43917,31308.03117,31223.57734,31247.14224,31290.33347,31344.76405,31324.59686,31417.0025,31268.13521,31379.93691,31367.35029,31405.45275,31534.71761,31473.53306,31617.19503
14,20001.09679,19980.38801,19993.54025,19977.90904,19967.28561,19996.46458,20040.50399,20082.54847,20106.41968,20135.66724,20129.48412,20135.22808,20158.59198,20165.87406,20153.05576,20166.28972,20172.29437,20196.12067,20201.22243,20183.04828,20207.55233,20230.73462,20236.70037,20226.08589,20224.64945,20264.95205,20283.99087,20260.80317,20188.96502,20136.20545,20190.0821,20195.38741,20231.09474,20205.9603,20183.62497,20197.58729,20233.21163,20250.65542,20265.76065,20307.11936,20285.78051,20280.57586,20296.05952,20295.90988,20294.32346,20268.65786,20241.15883,20250.9232,20251.06808,20242.79682,20291.38541,20320.40832,20318.03642,20319.72963,20339.09444,20372.74961,20367.77656,20394.05547,20404.49318,20395.01312,20354.61099,20367.62189,20368.74448,20361.66166,20396.81514,20397.84547,20398.87561,20399.90585,20400.93021,20513.08078,20521.86025,20497.8977,20499.50141,20519.64221,20511.66357,20501.2476,20573.65512,20518.30725,20543.94758,20541.38185,20591.32361,20652.49021,20638.92635,20726.60628
15,15001.6608,15003.28203,15004.89773,15006.4938,15008.04397,15009.62072,15011.18217,15012.7043,15014.20407,15015.69724,15017.19535,15018.78447,15020.26668,15021.7666,15023.2865,15024.77546,15026.36343,15027.89942,15029.41213,15030.88967,15032.37082,15033.86969,15035.37774,15036.87842,15038.37234,15039.84474,15041.32316,15042.83872,15044.35655,15045.80923,15047.26085,15048.70689,15050.13893,15051.62422,15053.0755,15054.53866,15055.99127,15057.35068,15058.73053,15060.2355,15061.71547,15063.15281,15064.62659,15066.1097,15067.58498,15069.12489,15070.59443,15072.10088,15073.57102,15075.03406,15076.75442,15078.25893,15079.71232,15081.44242,15082.91753,15084.36896,15085.86533,15087.36291,15088.92988,15090.48389,15092.11607,15093.82722,15095.52709,15097.22714,15098.77959,15100.33975,15101.89961,15103.45964,15105.01077,15106.56703,15108.12452,15109.69652,15111.3743,15112.98215,15114.56418,15116.15469,15117.74218,15119.37611,15120.91708,15122.42418,15123.95684,15125.612,15127.09688,15128.5863
16,10000.75279,9994.80241,9999.850665,9993.90464,9992.0709,10001.64184,10015.46955,10029.76471,10037.63072,10047.6804,10045.55701,10047.95251,10056.04538,10058.66662,10054.90918,10059.0546,10062.02883,10069.87995,10071.051,10065.77135,10073.20105,10080.75354,10083.23754,10080.01936,10080.05459,10093.28875,10098.95325,10091.85907,10066.77705,10050.82421,10069.30939,10071.48348,10083.34242,10073.05646,10066.34019,10071.07401,10083.81898,10088.93901,10093.25938,10106.77964,10100.06073,10098.83348,10104.26098,10105.34024,10105.3044,10097.74636,10086.84265,10090.59408,10090.8847,10087.80606,10104.84741,10115.51797,10115.58178,10116.61647,10123.08837,10134.01675,10133.36419,10142.32512,10145.93179,10143.43711,10131.29183,10136.09107,10136.86156,10136.66136,10148.74708,10149.45424,10150.16128,10150.86839,10151.57146,10188.49497,10191.34585,10183.4475,10183.97316,10190.81835,10197.03076,10195.60676,10200.56914,10187.09384,10201.54893,10195.18675,10196.39808,10203.58308,10194.12652,10213.38548
17,5000.20688,4975.609049,4988.696527,4989.117818,4979.202593,4997.116102,5030.406517,5050.683573,5071.581105,5091.642431,5083.976388,5089.256947,5113.696571,5114.232521,5103.583621,5115.008672,5112.35995,5121.040761,5123.434924,5110.149075,5136.580464,5146.187646,5156.479623,5146.143812,5153.872443,5184.74513,5195.067233,5180.024446,5130.38866,5078.21216,5114.620299,5116.104111,5139.509632,5139.53188,5125.47372,5138.808749,5159.362617,5165.455572,5170.422533,5201.141045,5186.995973,5179.58119,5191.458845,5195.992321,5197.601386,5173.036418,5169.856653,5169.730973,5168.399601,5167.624822,5183.295149,5206.144716,5209.753095,5208.532337,5210.332502,5233.740766,5227.416685,5250.685315,5258.152784,5244.522143,5201.05525,5202.87471,5203.658539,5199.685076,5221.918184,5222.112528,5222.306835,5222.501162,5222.694381,5299.242216,5307.169202,5287.368899,5294.948656,5304.212698,5316.251703,5315.075608,5323.60167,5291.256722,5322.206533,5320.526482,5313.75702,5339.563567,5323.754991,5344.548947
18,2000.109679,1998.038801,1999.354025,1997.790904,1996.728561,1999.646458,2004.050399,2008.254847,2010.641968,2013.566724,2012.948412,2013.522808,2015.859198,2016.587406,2015.305576,2016.628972,2017.229437,2019.612067,2020.122243,2018.304828,2020.755233,2023.073462,2023.670037,2022.608589,2022.464945,2026.495205,2028.399087,2026.080317,2018.896502,2013.620545,2019.00821,2019.538741,2023.109474,2020.59603,2018.362497,2019.758729,2023.321163,2025.065542,2026.576065,2030.711936,2028.578051,2028.057586,2029.605952,2029.590988,2029.432346,2026.865786,2024.115883,2025.09232,2025.106808,2024.279682,2029.138541,2032.040832,2031.803642,2031.972963,2033.909444,2037.274961,2036.777656,2039.405547,2040.449318,2039.501312,2035.461099,2036.762189,2036.874448,2036.166166,2039.681514,2039.784547,2039.887561,2039.990585,2040.093021,2051.308078,2052.186025,2049.78977,2049.950141,2051.964221,2051.166357,2050.12476,2057.365512,2051.830725,2054.394758,2054.138185,2059.132361,2065.249021,2063.892635,2072.660628
19,1000.05484,999.0194005,999.6770127,998.895452,998.3642804,999.8232289,1002.025199,1004.127424,1005.320984,1006.783362,1006.474206,1006.761404,1007.929599,1008.293703,1007.652788,1008.314486,1008.614718,1009.806034,1010.061122,1009.152414,1010.377616,1011.536731,1011.835018,1011.304295,1011.232473,1013.247602,1014.199544,1013.040158,1009.448251,1006.810272,1009.504105,1009.76937,1011.554737,1010.298015,1009.181248,1009.879365,1011.660581,1012.532771,1013.288033,1015.355968,1014.289025,1014.028793,1014.802976,1014.795494,1014.716173,1013.432893,1012.057941,1012.54616,1012.553404,1012.139841,1014.569271,1016.020416,1015.901821,1015.986482,1016.954722,1018.63748,1018.388828,1019.702773,1020.224659,1019.750656,1017.73055,1018.381094,1018.437224,1018.083083,1019.840757,1019.892274,1019.94378,1019.995292,1020.046511,1025.654039,1026.093012,1024.894885,1024.975071,1025.98211,1025.583179,1025.06238,1028.682756,1025.915362,1027.197379,1027.069093,1029.566181,1032.624511,1031.946318,1036.330314
