,kmrd_std_total,kmrd_year_rate,kmrd_maxdown,nofee_kmrd_std_total,nofee_kmrd_year_rate,nofee_kmrd_maxdown,betago_std_total,betago_year_rate,betago_maxdown,nofee_betago_std_total,nofee_betago_year_rate,nofee_betago_maxdown,sz_std_total,sz_year_rate,sz_maxdown,nofee_sz_std_total,nofee_sz_year_rate,nofee_sz_maxdown
47,0.060613916,0.173011978,0.024324814,0.05958525,0.187372634,0.024210201,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
48,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
49,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
50,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
51,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
52,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
53,0.060613916,0.173011978,0.024324814,0.05958525,0.187372634,0.024210201,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
54,0.060613916,0.173011978,0.024324814,0.05958525,0.187372634,0.024210201,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
55,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
56,0.032052748,0.040110433,0.01191289,0.030715252,0.054471089,0.011856163,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
57,0.069779435,0.177415266,0.025437555,0.068801104,0.191775922,0.02531712,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
