,2017/11/24,2017/11/27,2017/11/28,2017/11/29,2017/11/30,2017/12/1,2017/12/4,2017/12/5,2017/12/6,2017/12/7,2017/12/8
19,1000,997.0507846,998.9182741,999.0258598,997.8997048,996.9914902,998.1743764,997.5823342,995.0756408,994.466762,995.7767537
20,1000,999.2433351,999.0178567,998.8935889,999.2681584,999.0673996,999.7300103,999.8277946,1000.345313,1000.382412,1000.608238
21,2000,1998.48667,1998.035713,1997.787178,1998.536317,1998.134799,1999.460021,1999.655589,2000.690626,2000.764825,2001.216477
22,5000,4965.705863,4986.124306,4990.946095,4971.948581,4972.777833,4981.065071,4974.274313,4945.756478,4941.636554,4955.124965
23,10000,9913.391921,9963.986989,9979.499575,9925.403973,9932.646241,9952.390769,9932.530231,9858.897519,9849.922351,9881.720118
24,15000,14957.61706,14988.91219,14990.20881,14977.4151,14963.2253,14979.92202,14969.80412,14932.54482,14925.90661,14944.7445
25,20000,20002.048,20004.10141,20006.20044,20008.30529,20010.41877,20012.51046,20014.57655,20016.62504,20018.6243,20020.67881
26,30000,29915.23411,29977.82438,29980.41761,29954.83021,29926.4506,29959.84404,29939.60825,29865.08964,29851.81322,29889.48901
27,50000,49650.22409,49855.65655,49903.16807,49710.29365,49718.59944,49802.44347,49737.23097,49448.97678,49404.35409,49543.68004
28,100000,99300.44818,99711.3131,99806.33615,99420.5873,99437.19889,99604.88695,99474.46195,98897.95356,98808.70818,99087.36009
29,200000,198600.8964,199422.6262,199612.6723,198841.1746,198874.3978,199209.7739,198948.9239,197795.9071,197617.4164,198174.7202
30,200000,199422.3758,199817.7901,199837.2198,199639.2117,199453.7746,199683.4381,199556.8143,199057.7023,198952.4288,199209.107
31,100000,99300.44818,99711.3131,99806.33615,99420.5873,99437.19889,99604.88695,99474.46195,98897.95356,98808.70818,99087.36009
32,50000,49561.13648,49810.85294,49884.19166,49610.22799,49642.69031,49742.50227,49649.00586,49276.12283,49225.89408,49390.35674
33,30000,29736.68189,29886.51176,29930.515,29766.1368,29785.61418,29845.50136,29789.40352,29565.6737,29535.53645,29634.21405
34,20000,19857.39924,19940.0445,19958.75069,19880.45248,19883.75921,19917.67765,19892.67491,19776.14512,19756.93289,19814.42413
35,15000,14955.76177,14983.77411,14985.3879,14968.49557,14954.87235,14972.61565,14963.73501,14926.13461,14917.00143,14936.6513
36,10000,9970.507846,9989.182741,9990.258598,9978.997048,9969.914902,9981.743764,9975.823342,9950.756408,9944.66762,9957.767537
37,5000,4956.113648,4981.085294,4988.419166,4961.022799,4964.269031,4974.250227,4964.900586,4927.612283,4922.589408,4939.035674
38,2000,1982.445459,1992.434117,1995.367666,1984.40912,1985.707612,1989.700091,1985.960234,1971.044913,1969.035763,1975.61427
39,1000,997.0507846,998.9182741,999.0258598,997.8997048,996.9914902,998.1743764,997.5823342,995.0756408,994.466762,995.7767537
40,1000,997.1744704,999.2608128,999.3472538,998.4943403,997.5483532,998.6614679,997.9869415,995.5029879,995.0604408,996.3163002
41,2000,1994.348941,1998.521626,1998.694508,1996.988681,1995.096706,1997.322936,1995.973883,1991.005976,1990.120882,1992.6326
42,5000,4956.695961,4981.993494,4989.749788,4962.701987,4966.32312,4976.195384,4966.265115,4929.448759,4924.961175,4940.860059
43,10000,9913.391921,9963.986989,9979.499575,9925.403973,9932.646241,9952.390769,9932.530231,9858.897519,9849.922351,9881.720118
44,15000,14870.08788,14945.98048,14969.24936,14888.10596,14898.96936,14928.58615,14898.79535,14788.34628,14774.88353,14822.58018
